rep,id,initT,aS,dS,tau,lBt0,lp,dI,n,V0
8,40094,1.00444038827761e-15,9,3.93871892152298e-05,0.05,-3.05471676756778,3,1.81457666256487,0.519784959275072,1
9,40094,6.80947670063327e-12,9,1.59362773946798e-05,0.05,-3.17398112607163,3,2.16606317641612,0.593045491783838,1
10,40094,3.2211275768533e-18,9,1.6342984683194e-05,0.05,-3.54947790368423,3,1.53983110807131,0.556152556944641,1
1,40100,8.8171470335383e-15,9,2.69479309328383e-05,0.05,-3.68117424309455,3,2.3633539446565,0.763967337154266,1
2,40100,9.64203626147682e-17,9,4.8995628136632e-05,0.05,-4.1642625610026,3,1.3955342190807,0.598665945591495,1
3,40100,2.45771896848661e-10,9,1.70475120466097e-05,0.05,-3.8933376270741,3,2.00630772595961,0.465188051009779,1
4,40100,0.0138438080450653,9,3.87525825675554e-05,0.05,-3.37189933159082,3,2.05536550236973,0.960536914083419,1
5,40100,8.10723202929575e-20,9,1.664066647682e-05,0.05,-4.02296211160768,3,2.0014220069278,0.626412484452571,1
6,40100,1.59700521006708e-12,9,1.74833920210851e-05,0.05,-3.96091513299658,3,1.56868517368235,0.897243230233738,1
7,40100,8.59230600298312e-09,9,4.42605901332719e-05,0.05,-3.8967952543355,3,1.49216234024088,0.411793813521984,1
8,40100,7.96333755841119e-13,9,1.2747877030672e-05,0.05,-3.91118346874253,3,2.00792319504124,0.472835247537861,1
9,40100,2.3620432938366e-20,9,2.18729960505979e-05,0.05,-3.98480938229588,3,2.35638301066638,0.506567042889698,1
10,40100,2.70579971366628e-15,9,2.47868665162365e-05,0.05,-3.6762182619768,3,2.06768963144519,0.564604669474961,1
1,40123,2.74979486410841e-09,9,3.29993077416904e-05,0.05,-3.77119515534436,3,1.3768578798228,0.601193507673249,1
2,40123,1.03164737233665e-10,9,3.64608853525082e-05,0.05,-2.88423639061238,3,1.74676841116504,1.04262943030562,1
3,40123,3.86813502278238e-11,9,3.95260482728338e-05,0.05,-3.20025713520938,3,2.15043979060825,0.444518890062092,1
4,40123,9.16449529123467e-20,9,1.85323586836458e-05,0.05,-3.58618288485719,3,2.11983823747718,0.601337582136927,1
5,40123,1.27889937854055e-13,9,2.90636398999447e-05,0.05,-3.03471040347605,3,1.33510161844294,0.620822762425056,1
6,40123,4.09447900818183e-13,9,3.28197528411484e-05,0.05,-2.77820444681918,3,1.49450073140137,0.568655208210918,1
7,40123,1.74042135278426e-10,9,1.85338999087033e-05,0.05,-3.38984816781679,3,1.39755938711823,0.55366180213325,1
8,40123,3.41126857554833e-06,9,1.93370945567137e-05,0.05,-4.02874949525343,3,1.94327176515346,1.39067541389401,1
9,40123,1.06670781230594e-11,9,1.9716410705398e-05,0.05,-3.25136451279195,3,2.46169267833457,0.672602541737828,1
10,40123,5.36987903709611e-11,9,2.54719680936765e-05,0.05,-3.8693602686627,3,1.39485728452011,0.807309245393278,1
1,40168,1.19155109960674e-09,9,4.07375039026357e-05,0.05,-3.87448995988299,3,1.77148490303138,0.762553184178839,1
2,40168,5.32199532616482e-11,9,5.72020541647782e-05,0.05,-3.41009301294521,3,1.58017652241572,0.45595455998257,1
3,40168,4.32072534734591e-17,9,2.87605378593013e-05,0.05,-4.09998940332854,3,1.83482918462732,0.811388114968277,1
4,40168,6.93155603007666e-09,9,9.64170029498304e-05,0.05,-3.85664864417695,3,2.02583336674836,0.81482013649869,1
5,40168,7.83529391309944e-11,9,2.34785569326344e-05,0.05,-4.12915024864837,3,1.97142208663202,0.636439369239092,1
6,40168,1.00183625842375e-21,9,1.75944515518623e-05,0.05,-3.11586573358335,3,1.56433630948774,0.811596861359812,1
7,40168,4.83510963539438e-19,9,1.35656297487131e-05,0.05,-3.79118300417181,3,1.73347701418999,0.724209038079077,1
8,40168,4.37911135366574e-09,9,2.67810422856669e-05,0.05,-3.55194151407506,3,2.27379645649855,0.543304653090647,1
